============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.14-s082_1
  Generated on:           May 20 2023  06:21:47 am
  Module:                 sdc300_chip
  Operating conditions:   ssg_cworst_max_0p99v_125c (balanced_tree)
  Operating conditions:   ssg_cworst_max_0p99v_m40c (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                                                         Leakage                                                                          Library 
                     Gate                      Instances      Area      Power (nW)                                 Library                                 Domain 
AO22_X6M_A7TSULP_C50                                  24       107.251      32.508    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI211_X1M_A7TEHULP_C50                             4823      4490.213      91.071    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI211_X1M_A7TSULP_C50                                17        15.827       3.836    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI211_X1P4M_A7TEHULP_C50                              5         8.379       0.122    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI211_X1P4M_A7TSULP_C50                               1         1.676       0.340    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI211_X2M_A7TEHULP_C50                                1         1.676       0.036    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI211_X2M_A7TSULP_C50                                 2         3.352       1.057    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI211_X3M_A7TEHULP_C50                                2         4.841       0.079    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21B_X1M_A7TEHULP_C50                             1467      1638.932      56.291    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21B_X1M_A7TSULP_C50                                90       100.548      22.890    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21B_X1P4M_A7TEHULP_C50                             98       164.228       3.462    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21B_X1P4M_A7TSULP_C50                              34        56.977      10.349    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21B_X2M_A7TEHULP_C50                               73       122.333       3.145    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21B_X3M_A7TEHULP_C50                                5        11.172       0.261    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21B_X3M_A7TSULP_C50                                 1         2.234       0.793    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21B_X4M_A7TEHULP_C50                               16        44.688       1.050    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21B_X6M_A7TEHULP_C50                                1         4.096       0.102    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21_X1M_A7TEHULP_C50                             12097      9009.846     250.514    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21_X1M_A7TSULP_C50                                626       466.245     116.150    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21_X1P4M_A7TEHULP_C50                             635       827.659      10.674    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21_X1P4M_A7TSULP_C50                              260       338.884      61.747    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21_X2M_A7TEHULP_C50                               643       838.086      15.943    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21_X2M_A7TSULP_C50                                268       349.311      93.047    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21_X3M_A7TEHULP_C50                                53        98.686       2.201    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21_X3M_A7TSULP_C50                                 17        31.654       6.894    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21_X4M_A7TEHULP_C50                                76       183.966       3.918    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI21_X4M_A7TLULP_C50                                  1         2.421       2.124    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21_X4M_A7TSULP_C50                                  8        19.365       4.688    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI21_X6M_A7TEHULP_C50                                 1         3.538       0.107    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI221_X1M_A7TEHULP_C50                            10028     13070.495     178.432    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI221_X1M_A7TSULP_C50                                34        44.316       7.658    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI221_X1P4M_A7TEHULP_C50                             13        29.047       0.303    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI221_X1P4M_A7TSULP_C50                               8        17.875       2.117    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI221_X2M_A7TEHULP_C50                               16        35.750       0.405    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI221_X2M_A7TSULP_C50                                 6        13.406       2.593    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI221_X3M_A7TEHULP_C50                                2         6.331       0.071    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI221_X3M_A7TSULP_C50                                 3         9.496       1.750    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI221_X4M_A7TLULP_C50                                 1         4.096       2.938    sc7mc_cln40ulp_base_lvtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI221_X4M_A7TSULP_C50                                 2         8.193       1.513    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI222_X1M_A7TEHULP_C50                            15780     23505.888     246.057    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI222_X1M_A7TSULP_C50                                33        49.157       6.349    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI222_X1P4M_A7TEHULP_C50                              5        13.034       0.171    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI222_X1P4M_A7TSULP_C50                               6        15.641       1.286    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI222_X2M_A7TEHULP_C50                                6        15.641       0.261    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI222_X2M_A7TSULP_C50                                 7        18.248       2.212    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22BB_X1M_A7TEHULP_C50                            6620      8628.508     237.497    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AOI22BB_X1M_A7TSULP_C50                              425       553.945     126.060    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AOI22BB_X1P4M_A7TEHULP_C50                           375       698.250      17.407    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
